VideoName,Video Name (original),Method Name,Frame number,Total keyP,N visible,Failed detections,failed percent,False detections,false percent,Not Included in Detections,FalseKeyP,Species,Contrast (Fg/BG),Animal Size (pixels diagonal),Area,Height (only for BB),Narea,Boundary
MVI_0133,MVI_0133,Segmentation,13,78,60,20,0.3333333333,38,0.4871794872,,,Fish,0.644,7,25678,,,1
MVI_0133,MVI_0133,Segmentation,14,61,57,41,0.7192982456,45,0.737704918,,,Fish,0.46,8,15287,,,1
MVI_0133,MVI_0133,Segmentation,15,90,59,33,0.5593220339,64,0.7111111111,,,Fish,0.684,9,33900,,,1
MVI_0133,MVI_0133,Segmentation,16,84,60,29,0.4833333333,53,0.630952381,,,Fish,0.694,6,64106,,,1
MVI_0133,MVI_0133,Segmentation,17,154,58,35,0.6034482759,131,0.8506493506,,,Fish,0.514,7,74388,,,1
MVI_0133,MVI_0133,Segmentation,18,129,57,43,0.7543859649,115,0.8914728682,,,Fish,0.593,7,72933,,,1
MVI_0133,MVI_0133,Segmentation,19,109,60,43,0.7166666667,92,0.8440366972,,,Fish,0.438,8,58188,,,1
MVI_0133,MVI_0133,Segmentation,20,116,59,42,0.7118644068,99,0.8534482759,,,Fish,0.643,6,69792,,,1
MVI_0133,MVI_0133,Segmentation,21,118,60,43,0.7166666667,101,0.8559322034,,,Fish,0.486,8,46162,,,1
MVI_0133,MVI_0133,Segmentation,22,116,59,36,0.6101694915,93,0.8017241379,,,Fish,0.677,9,28951,,,1
MVI_0133,MVI_0133,Segmentation,23,144,60,25,0.4166666667,109,0.7569444444,,,Fish,0.514,9,67167,,,1
MVI_0133,MVI_0133,Segmentation,24,141,58,38,0.6551724138,121,0.8581560284,,,Fish,0.684,11,32098,,,1
MVI_0133,MVI_0133,Segmentation,25,116,60,43,0.7166666667,99,0.8534482759,,,Fish,0.644,8,9115,,,1
MVI_0133,MVI_0133,Segmentation,26,113,60,39,0.65,92,0.814159292,,,Fish,0.496,9,22070,,,1
MVI_0133,MVI_0133,Segmentation,27,123,59,44,0.7457627119,108,0.8780487805,,,Fish,0.811,11,31346,,,1
MVI_0133,MVI_0133,Segmentation,28,142,60,42,0.7,124,0.8732394366,,,Fish,0.61,9,151000,,,1
MVI_0133,MVI_0133,Segmentation,29,112,57,45,0.7894736842,100,0.8928571429,,,Fish,0.495,6,100169,,,1
MVI_0133,MVI_0133,Segmentation,30,123,59,47,0.7966101695,111,0.9024390244,,,Fish,0.421,6,47551,,,1
MVI_0133,MVI_0133,Segmentation,31,128,60,41,0.6833333333,109,0.8515625,,,Fish,0.464,9,55789,,,1
MVI_0133,MVI_0133,Segmentation,32,130,59,40,0.6779661017,111,0.8538461538,,,Fish,0.559,8,66719,,,1
MVI_0133,MVI_0133,Segmentation,33,149,56,42,0.75,135,0.9060402685,,,Fish,0.615,8,8496,,,1
MVI_0133,MVI_0133,Segmentation,34,148,60,30,0.5,118,0.7972972973,,,Fish,0.496,9,26970,,,1
MVI_0133,MVI_0133,Segmentation,35,142,56,28,0.5,114,0.8028169014,,,Fish,0.655,7,53837,,,0
MVI_0133,MVI_0133,Segmentation,36,139,57,31,0.5438596491,113,0.8129496403,,,Fish,0.485,11,59846,,,1
