VideoName,Method Name,Frame number,N (Total visible individuals),Total detections by Algo,Failed detections,failed percent,False detections,false percent,Species,Contrast (Fg/BG),Animal Size ,Density (Area/N),Height (only for BB),step size
16MarchMor05.MOV,Segmentation,14,37,39,7,0.1891891892,9,0.2432432432,BB,2.09,57,287598,,500
16MarchMor05.MOV,Segmentation,15,35,40,7,0.2,12,0.3428571429,BB,1.55,53,278965,,500
16MarchMor05.MOV,Segmentation,16,34,43,4,0.1176470588,13,0.3823529412,BB,2.45,47,192086,,500
16MarchMor05.MOV,Segmentation,17,33,19,15,0.4545454545,1,0.0303030303,BB,2.78,44,446955,,500
16MarchMor05.MOV,Segmentation,18,31,32,6,0.1935483871,7,0.2258064516,BB,1.23,41,421309,,500
16MarchMor05.MOV,Segmentation,19,34,36,8,0.2352941176,10,0.2941176471,BB,1.67,35,321689,,500
16MarchMor05.MOV,Segmentation,20,35,34,7,0.2,6,0.1714285714,BB,1.66,33,77962,,500
16MarchMor05.MOV,Segmentation,21,32,39,8,0.25,15,0.46875,BB,1.89,52,198435,,500
16MarchMor05.MOV,Segmentation,22,31,38,6,0.1935483871,13,0.4193548387,BB,1.72,57,173938,,500
16MarchMor05.MOV,Segmentation,23,33,37,6,0.1818181818,10,0.303030303,BB,1.02,50,143956,,500
16MarchMor05.MOV,Segmentation,24,33,35,9,0.2727272727,11,0.3333333333,BB,2.04,41,151329,,500
16MarchMor05.MOV,Segmentation,25,32,28,11,0.34375,7,0.21875,BB,1.55,63,165818,,500
16MarchMor05.MOV,Segmentation,26,31,25,10,0.3225806452,4,0.1290322581,BB,1.48,49,222203,,500
16MarchMor05.MOV,Segmentation,27,32,30,9,0.28125,7,0.21875,BB,1.44,52,168277,,500
16MarchMor05.MOV,Segmentation,28,33,32,10,0.303030303,9,0.2727272727,BB,1.44,57,275425,,500
16MarchMor05.MOV,Segmentation,29,32,29,11,0.34375,8,0.25,BB,2.36,46,207235,,500
16MarchMor05.MOV,Segmentation,30,31,127,3,0.0967741936,99,3.193548387,BB,1.87,62,108150,,500
16MarchMor05.MOV,Segmentation,31,32,34,6,0.1875,8,0.25,BB,1.5,49,272178,,500
16MarchMor05.MOV,Segmentation,32,32,19,17,0.53125,4,0.125,BB,1.66,48,104063,,500
16MarchMor05.MOV,Segmentation,33,30,12,20,0.6666666667,2,0.0666666667,BB,1.38,51,114662,,500
16MarchMor06.MOV,Segmentation,1,28,23,8,0.2857142857,3,0.1071428571,BB,2,53,187441,,500
16MarchMor06.MOV,Segmentation,2,26,28,3,0.1153846154,5,0.1923076923,BB,1.92,60,278912,,500
16MarchMor06.MOV,Segmentation,3,27,27,5,0.1851851852,5,0.1851851852,BB,1.53,49,344921,,500
16MarchMor06.MOV,Segmentation,4,24,25,5,0.2083333333,6,0.25,BB,1.29,44,769447,,500
16MarchMor06.MOV,Segmentation,5,23,21,5,0.2173913043,3,0.1304347826,BB,1.03,50,154867,,500
16MarchMor06.MOV,Segmentation,6,20,14,8,0.4,2,0.1,BB,2.69,55,463642,,500
16MarchMor06.MOV,Segmentation,7,21,13,9,0.4285714286,1,0.0476190476,BB,2.83,48,249753,,500
16MarchMor06.MOV,Segmentation,8,21,16,7,0.3333333333,2,0.0952380952,BB,2.55,41,123282,,500
16MarchMor06.MOV,Segmentation,9,19,12,8,0.4210526316,1,0.052631579,BB,2.08,44,114563,,500
16MarchMor06.MOV,Segmentation,10,21,16,9,0.4285714286,4,0.1904761905,BB,2.22,36,88196,,500
16MarchMor06.MOV,Segmentation,11,13,11,4,0.3076923077,2,0.1538461538,BB,1.05,30,66062,,500
16MarchMor06.MOV,Segmentation,12,11,10,2,0.1818181818,1,0.0909090909,BB,1.4,44,65611,,500
16MarchMor06.MOV,Segmentation,13,9,12,0,0,3,0.3333333333,BB,1.79,51,157958,,500
16MarchMor06.MOV,Segmentation,14,11,12,1,0.0909090909,2,0.1818181818,BB,1.99,53,220377,,500
16MarchMor06.MOV,Segmentation,15,7,6,1,0.1428571429,0,0,BB,2.52,59,154829,,500
16MarchMor06.MOV,Segmentation,16,9,6,3,0.3333333333,0,0,BB,2.9,47,153407,,500
16MarchMor06.MOV,Segmentation,17,13,13,2,0.1538461538,2,0.1538461538,BB,1.6,41,340520,,500
16MarchMor06.MOV,Segmentation,18,15,15,3,0.2,3,0.2,BB,2.32,42,113620,,500
16MarchMor06.MOV,Segmentation,19,16,16,4,0.25,4,0.25,BB,1.31,52,238203,,500
16MarchMor06.MOV,Segmentation,20,13,14,2,0.1538461538,3,0.2307692308,BB,2.76,53,107766,,500
16MarchMor06.MOV,Segmentation,21,10,9,4,0.4,3,0.3,BB,1.72,49,207142,,500
16MarchMor06.MOV,Segmentation,22,10,10,2,0.2,2,0.2,BB,1.66,50,73339,,500
16MarchMor06.MOV,Segmentation,23,9,8,3,0.3333333333,2,0.2222222222,BB,2.38,55,77640,,500
16MarchMor06.MOV,Segmentation,24,11,8,8,0.7272727273,5,0.4545454545,BB,1.87,35,130824,,500
17MarchMor06.MOV,Segmentation,1,29,10,21,0.724137931,2,0.0689655172,BB,1.45,41,283291,,500
17MarchMor06.MOV,Segmentation,2,27,11,19,0.7037037037,3,0.1111111111,BB,1.66,49,182806,,500
17MarchMor06.MOV,Segmentation,3,26,12,17,0.6538461538,3,0.1153846154,BB,1.31,46,150306,,500
17MarchMor06.MOV,Segmentation,4,36,16,22,0.6111111111,2,0.0555555556,BB,2.63,38,304473,,500
25MarchEve02.MOV,Segmentation,1,20,20,5,0.25,5,0.25,BB,1.24,47,155032,,500
25MarchEve02.MOV,Segmentation,2,19,22,7,0.3684210526,10,0.5263157895,BB,1.31,38,157676,,500
25MarchEve02.MOV,Segmentation,3,21,20,7,0.3333333333,6,0.2857142857,BB,1.56,47,129793,,500
25MarchEve02.MOV,Segmentation,4,16,10,8,0.5,2,0.125,BB,1.25,52,146367,,500
25MarchEve02.MOV,Segmentation,5,15,8,9,0.6,2,0.1333333333,BB,1.86,59,188603,,500
25MarchEve02.MOV,Segmentation,6,15,7,8,0.5333333333,0,0,BB,2.24,61,264333,,500
25MarchEve02.MOV,Segmentation,7,14,9,6,0.4285714286,1,0.0714285714,BB,1.59,40,170737,,500
25MarchEve02.MOV,Segmentation,8,7,90,0,0,83,11.85714286,BB,1.42,53,131029,,500
25MarchEve02.MOV,Segmentation,9,7,45,0,0,38,5.428571429,BB,1.77,47,96185,,500
25MarchEve02.MOV,Segmentation,10,12,15,6,0.5,9,0.75,BB,1.11,53,202921,,500
25MarchEve02.MOV,Segmentation,11,11,13,3,0.2727272727,5,0.4545454545,BB,1.16,46,182406,,500
25MarchEve02.MOV,Segmentation,12,12,15,3,0.25,6,0.5,BB,1.63,58,60807,,500
25MarchEve02.MOV,Segmentation,13,17,24,7,0.4117647059,14,0.8235294118,BB,1.9,51,258062,,500
25MarchEve02.MOV,Segmentation,14,15,17,3,0.2,5,0.3333333333,BB,1.55,40,109280,,500
25MarchEve02.MOV,Segmentation,15,16,15,5,0.3125,4,0.25,BB,1.38,32,107210,,500
25MarchEve02.MOV,Segmentation,16,12,9,4,0.3333333333,1,0.0833333333,BB,1.92,37,127916,,500
25MarchEve02.MOV,Segmentation,17,15,24,4,0.2666666667,13,0.8666666667,BB,1.45,34,145930,,500
25MarchEve02.MOV,Segmentation,18,19,24,3,0.1578947368,8,0.4210526316,BB,1.44,48,205043,,500
25MarchEve02.MOV,Segmentation,19,17,18,7,0.4117647059,8,0.4705882353,BB,1.63,42,111575,,500
25MarchEve02.MOV,Segmentation,20,14,18,4,0.2857142857,8,0.5714285714,BB,1.66,36,101819,,500
25MarchEve02.MOV,Segmentation,21,19,25,4,0.2105263158,10,0.5263157895,BB,1.89,34,139936,,500
25MarchEve02.MOV,Segmentation,22,14,27,0,0,13,0.9285714286,BB,1.8,39,184170,,500
25MarchEve05.MOV,Segmentation,1,33,27,11,0.3333333333,5,0.1515151515,BB,1.9,45,171227,,500
25MarchEve05.MOV,Segmentation,2,34,25,15,0.4411764706,6,0.1764705882,BB,1.33,48,238159,,500
25MarchEve05.MOV,Segmentation,3,34,26,12,0.3529411765,4,0.1176470588,BB,1.76,42,216554,,500
25MarchEve05.MOV,Segmentation,4,34,27,11,0.3235294118,4,0.1176470588,BB,1.74,40,217081,,500
25MarchEve05.MOV,Segmentation,5,33,29,9,0.2727272727,5,0.1515151515,BB,1.29,32,201707,,500
25MarchEve05.MOV,Segmentation,6,27,6,22,0.8148148148,1,0.037037037,BB,1.34,35,271623,,500
25MarchEve05.MOV,Segmentation,7,32,6,26,0.8125,0,0,BB,1.45,38,335635,,500
25MarchEve05.MOV,Segmentation,8,33,8,26,0.7878787879,1,0.0303030303,BB,1.52,47,351820,,500
25MarchEve05.MOV,Segmentation,9,28,5,23,0.8214285714,0,0,BB,1.61,54,332517,,500
25MarchEve05.MOV,Segmentation,10,32,7,25,0.78125,0,0,BB,1.21,55,234370,,500
25MarchEve05.MOV,Segmentation,11,30,10,21,0.7,1,0.0333333333,BB,1.04,49,231871,,500
25MarchEve05.MOV,Segmentation,12,28,11,17,0.6071428571,0,0,BB,2.33,49,200172,,500
25MarchEve05.MOV,Segmentation,13,30,17,16,0.5333333333,3,0.1,BB,1.84,38,531897,,500
25MarchEve05.MOV,Segmentation,14,35,22,18,0.5142857143,5,0.1428571429,BB,1.87,46,220642,,500
25MarchEve05.MOV,Segmentation,15,29,4,25,0.8620689655,0,0,BB,1.56,48,372765,,500
25MarchEve05.MOV,Segmentation,16,30,1,29,0.9666666667,0,0,BB,1.34,50,234952,,500
25MarchEve05.MOV,Segmentation,17,36,5,31,0.8611111111,0,0,BB,1.89,52,258655,,500
25MarchEve05.MOV,Segmentation,18,29,2,27,0.9310344828,0,0,BB,1.99,31,252422,,500
25MarchEve05.MOV,Segmentation,19,30,2,28,0.9333333333,0,0,BB,1.44,48,190115,,500
25MarchEve05.MOV,Segmentation,20,34,2,32,0.9411764706,0,0,BB,1.54,49,276267,,500
25MarchEve05.MOV,Segmentation,21,31,1,30,0.9677419355,0,0,BB,1.6,45,163698,,500
25MarchEve05.MOV,Segmentation,22,26,3,24,0.9230769231,1,0.0384615385,BB,1.34,41,253726,,500
25MarchEve05.MOV,Segmentation,23,29,1,28,0.9655172414,0,0,BB,1.87,44,277765,,500
25MarchEve05.MOV,Segmentation,24,27,1,26,0.962962963,0,0,BB,1.66,44,209616,,500
25MarchEve05.MOV,Segmentation,25,28,3,25,0.8928571429,0,0,BB,1.62,54,163914,,500
25MarchEve05.MOV,Segmentation,26,28,3,25,0.8928571429,0,0,BB,1.11,36,235788,,500
25MarchEve05.MOV,Segmentation,27,34,7,27,0.7941176471,0,0,BB,1.75,35,348559,,500
25MarchEve05.MOV,Segmentation,28,31,10,23,0.7419354839,2,0.064516129,BB,1.76,62,202301,,500
25MarchEve06.MOV,Segmentation,1,25,15,13,0.52,3,0.12,BB,1.44,47,233976,,500
25MarchEve06.MOV,Segmentation,2,27,19,9,0.3333333333,1,0.037037037,BB,1.88,46,162205,,500
25MarchEve06.MOV,Segmentation,3,23,17,8,0.347826087,2,0.0869565217,BB,2.03,52,317838,,500
25MarchEve06.MOV,Segmentation,4,31,17,16,0.5161290323,2,0.064516129,BB,1.9,40,169676,,500
